id_partido,fase,equipo_local,equipo_visitante,goles_local,goles_visitante
1,grupos,Inter de Milán,Slavia Praga,1,1
2,grupos,Lyon,Zenit,1,1
3,grupos,Nápoles,Liverpool,2,0
4,grupos,Borussia Dortmund,Barcelona,0,0
5,grupos,Chelsea,Valencia,0,1
6,grupos,Salzburgo,Genk,6,2
7,grupos,Napoli,Liverpool,2,0
8,grupos,Ajax,Lille,3,0
9,grupos,Benfica,RB Leipzig,1,2
10,grupos,Olympiacos,Tottenham,2,2
11,grupos,Club Brugge,Galatasaray,0,0
12,grupos,PSG,Real Madrid,3,0
13,grupos,Shakhtar Donetsk,Manchester City,0,3
14,grupos,Atalanta,Dinamo Zagreb,0,4
15,grupos,Bayern Munich,Estrella Roja,3,0
16,grupos,Leverkusen,Lokomotiv Moscú,1,2
17,grupos,Real Madrid,Club Brugge,2,2
18,grupos,Atalanta,Shakhtar Donetsk,1,2
19,grupos,Manchester City,Dinamo Zagreb,2,0
20,grupos,Juventus,Bayer Leverkusen,3,0
21,grupos,Lokomotiv Moscú,Atlético Madrid,0,2
22,grupos,Tottenham,Bayern Múnich,2,7
23,grupos,Galatasaray,PSG,0,1
24,grupos,Estrella Roja,Olympiacos,3,1
25,grupos,Genk,Napoli,0,0
26,grupos,Liverpool,Salzburg,4,3
27,grupos,Barcelona,Inter Milan,2,1
28,grupos,Slavia Praga,Borussia Dortmund,0,2
29,grupos,Zenit,Benfica,3,1
30,grupos,Lille,Chelsea,1,2
31,grupos,Valencia,Ajax,0,3
32,grupos,RB Leipzig,Lyon,0,2
33,grupos,Shakhtar Donetsk,Dinamo Zagreb,2,2
34,grupos,Atlético Madrid,Bayer Leverkusen,1,0
35,grupos,Club Brugge,PSG,0,5
36,grupos,Galatasaray,Real Madrid,0,1
37,grupos,Tottenham,Crvena Zvezda,5,0
38,grupos,Manchester City,Atalanta,5,1
39,grupos,Olympiacos,Bayern Múnich,2,3
40,grupos,Juventus,Lokomotiv Moscú,2,1
41,grupos,Salzburg,Napoli,2,3
42,grupos,Genk,Liverpool,1,4
43,grupos,Slavia Praga,Barcelona,1,2
44,grupos,Inter Milan,Borussia Dortmund,2,0
45,grupos,Benfica,Lyon,2,1
46,grupos,Lille,Valencia,1,1
47,grupos,Ajax,Chelsea,0,1
48,grupos,RB Leipzig,Zenit,2,1
49,grupos,Dinamo Zagreb,Shakhtar Donetsk,3,3
50,grupos,Bayer Leverkusen,Atlético Madrid,2,1
51,grupos,PSG,Club Brugge,1,0
52,grupos,Real Madrid,Galatasaray,6,0
53,grupos,Crvena Zvezda,Tottenham,0,4
54,grupos,Atalanta,Manchester City,1,1
55,grupos,Bayern Múnich,Olympiacos,2,0
56,grupos,Lokomotiv Moscú,Juventus,1,2
57,grupos,Napoli,Salzburg,1,1
58,grupos,Liverpool,Genk,2,1
59,grupos,Barcelona,Slavia Praga,0,0
60,grupos,Borussia Dortmund,Inter Milan,3,2
61,grupos,Lyon,Benfica,3,1
62,grupos,Valencia,Lille,4,1
63,grupos,Chelsea,Ajax,4,4
64,grupos,Zenit,RB Leipzig,0,2
65,grupos,Galatasaray,Club Brugge,1,1
66,grupos,Lokomotiv Moscú,Bayer Leverkusen,0,2
67,grupos,Real Madrid,PSG,2,2
68,grupos,Tottenham,Olympiacos,4,2
69,grupos,Manchester City,Shakhtar Donetsk,1,1
70,grupos,Juventus,Atlético Madrid,1,0
71,grupos,Estrella Roja,Bayern Múnich,0,6
72,grupos,Atalanta,Dinamo Zagreb,2,0
73,grupos,Valencia,Chelsea,2,2
74,grupos,Zenit,Lyon,2,0
75,grupos,Liverpool,Napoli,1,1
